DepartmentID,ShiftTypeName,ShiftDate,NurseAMKA
1,Morning,2026-03-09,10000000300
1,Morning,2026-03-09,10000000301
1,Morning,2026-03-09,10000000302
1,Morning,2026-03-09,10000000303
1,Morning,2026-03-09,10000000304
1,Morning,2026-03-09,10000000305
1,Afternoon,2026-03-09,10000000306
1,Afternoon,2026-03-09,10000000307
1,Afternoon,2026-03-09,10000000308
1,Afternoon,2026-03-09,10000000309
1,Afternoon,2026-03-09,10000000310
1,Afternoon,2026-03-09,10000000311
1,Night,2026-03-09,10000000312
1,Night,2026-03-09,10000000313
1,Night,2026-03-09,10000000314
1,Night,2026-03-09,10000000315
1,Night,2026-03-09,10000000316
1,Night,2026-03-09,10000000317
1,Morning,2026-03-10,10000000300
1,Morning,2026-03-10,10000000301
1,Morning,2026-03-10,10000000302
1,Morning,2026-03-10,10000000303
1,Morning,2026-03-10,10000000304
1,Morning,2026-03-10,10000000305
1,Afternoon,2026-03-10,10000000306
1,Afternoon,2026-03-10,10000000307
1,Afternoon,2026-03-10,10000000308
1,Afternoon,2026-03-10,10000000309
1,Afternoon,2026-03-10,10000000310
1,Afternoon,2026-03-10,10000000311
1,Night,2026-03-10,10000000312
1,Night,2026-03-10,10000000313
1,Night,2026-03-10,10000000314
1,Night,2026-03-10,10000000315
1,Night,2026-03-10,10000000316
1,Night,2026-03-10,10000000317
1,Morning,2026-03-11,10000000300
1,Morning,2026-03-11,10000000301
1,Morning,2026-03-11,10000000302
1,Morning,2026-03-11,10000000303
1,Morning,2026-03-11,10000000304
1,Morning,2026-03-11,10000000305
1,Afternoon,2026-03-11,10000000306
1,Afternoon,2026-03-11,10000000307
1,Afternoon,2026-03-11,10000000308
1,Afternoon,2026-03-11,10000000309
1,Afternoon,2026-03-11,10000000310
1,Afternoon,2026-03-11,10000000311
1,Night,2026-03-11,10000000312
1,Night,2026-03-11,10000000313
1,Night,2026-03-11,10000000314
1,Night,2026-03-11,10000000315
1,Night,2026-03-11,10000000316
1,Night,2026-03-11,10000000317
1,Morning,2026-03-12,10000000300
1,Morning,2026-03-12,10000000301
1,Morning,2026-03-12,10000000302
1,Morning,2026-03-12,10000000303
1,Morning,2026-03-12,10000000304
1,Morning,2026-03-12,10000000305
1,Afternoon,2026-03-12,10000000306
1,Afternoon,2026-03-12,10000000307
1,Afternoon,2026-03-12,10000000308
1,Afternoon,2026-03-12,10000000309
1,Afternoon,2026-03-12,10000000310
1,Afternoon,2026-03-12,10000000311
1,Night,2026-03-12,10000000318
1,Night,2026-03-12,10000000319
1,Night,2026-03-12,10000000320
1,Night,2026-03-12,10000000321
1,Night,2026-03-12,10000000322
1,Night,2026-03-12,10000000323
1,Morning,2026-03-13,10000000300
1,Morning,2026-03-13,10000000301
1,Morning,2026-03-13,10000000302
1,Morning,2026-03-13,10000000303
1,Morning,2026-03-13,10000000304
1,Morning,2026-03-13,10000000305
1,Afternoon,2026-03-13,10000000306
1,Afternoon,2026-03-13,10000000307
1,Afternoon,2026-03-13,10000000308
1,Afternoon,2026-03-13,10000000309
1,Afternoon,2026-03-13,10000000310
1,Afternoon,2026-03-13,10000000311
1,Night,2026-03-13,10000000318
1,Night,2026-03-13,10000000319
1,Night,2026-03-13,10000000320
1,Night,2026-03-13,10000000321
1,Night,2026-03-13,10000000322
1,Night,2026-03-13,10000000323
1,Morning,2026-03-14,10000000300
1,Morning,2026-03-14,10000000301
1,Morning,2026-03-14,10000000302
1,Morning,2026-03-14,10000000303
1,Morning,2026-03-14,10000000304
1,Morning,2026-03-14,10000000305
1,Afternoon,2026-03-14,10000000306
1,Afternoon,2026-03-14,10000000307
1,Afternoon,2026-03-14,10000000308
1,Afternoon,2026-03-14,10000000309
1,Afternoon,2026-03-14,10000000310
1,Afternoon,2026-03-14,10000000311
1,Night,2026-03-14,10000000318
1,Night,2026-03-14,10000000319
1,Night,2026-03-14,10000000320
1,Night,2026-03-14,10000000321
1,Night,2026-03-14,10000000322
1,Night,2026-03-14,10000000323
