DoctorAMKA,DepartmentID
10000000000,1
10000000001,1
10000000002,1
10000000003,1
10000000004,1
10000000005,1
10000000006,1
10000000007,1
10000000008,1
10000000009,1
10000000010,1
10000000011,1
10000000012,1
10000000013,1
10000000014,1
10000000015,1
10000000016,1
10000000017,1
10000000018,1
10000000019,1
10000000170,1
10000000212,1
10000000263,1
10000000020,2
10000000021,2
10000000022,2
10000000023,2
10000000024,2
10000000025,2
10000000026,2
10000000027,2
10000000028,2
10000000029,2
10000000030,2
10000000031,2
10000000032,2
10000000033,2
10000000034,2
10000000035,2
10000000036,2
10000000037,2
10000000038,2
10000000039,2
10000000298,2
10000000040,3
10000000041,3
10000000042,3
10000000043,3
10000000044,3
10000000045,3
10000000046,3
10000000047,3
10000000048,3
10000000049,3
10000000050,3
10000000051,3
10000000052,3
10000000053,3
10000000054,3
10000000055,3
10000000056,3
10000000057,3
10000000058,3
10000000059,3
10000000060,4
10000000061,4
10000000062,4
10000000063,4
10000000064,4
10000000065,4
10000000066,4
10000000067,4
10000000068,4
10000000069,4
10000000070,4
10000000071,4
10000000072,4
10000000073,4
10000000074,4
10000000075,4
10000000076,4
10000000077,4
10000000078,4
10000000079,4
10000000034,5
10000000080,5
10000000081,5
10000000082,5
10000000083,5
10000000084,5
10000000085,5
10000000086,5
10000000087,5
10000000088,5
10000000089,5
10000000090,5
10000000091,5
10000000092,5
10000000093,5
10000000094,5
10000000095,5
10000000096,5
10000000097,5
10000000098,5
10000000099,5
10000000213,5
10000000013,6
10000000024,6
10000000100,6
10000000101,6
10000000102,6
10000000103,6
10000000104,6
10000000105,6
10000000106,6
10000000107,6
10000000108,6
10000000109,6
10000000110,6
10000000111,6
10000000112,6
10000000113,6
10000000114,6
10000000115,6
10000000116,6
10000000117,6
10000000118,6
10000000119,6
10000000144,6
10000000169,6
10000000120,7
10000000121,7
10000000122,7
10000000123,7
10000000124,7
10000000125,7
10000000126,7
10000000127,7
10000000128,7
10000000129,7
10000000130,7
10000000131,7
10000000132,7
10000000133,7
10000000134,7
10000000135,7
10000000136,7
10000000137,7
10000000138,7
10000000139,7
10000000206,7
10000000140,8
10000000141,8
10000000142,8
10000000143,8
10000000144,8
10000000145,8
10000000146,8
10000000147,8
10000000148,8
10000000149,8
10000000150,8
10000000151,8
10000000152,8
10000000153,8
10000000154,8
10000000155,8
10000000156,8
10000000157,8
10000000158,8
10000000159,8
10000000217,8
10000000160,9
10000000161,9
10000000162,9
10000000163,9
10000000164,9
10000000165,9
10000000166,9
10000000167,9
10000000168,9
10000000169,9
10000000170,9
10000000171,9
10000000172,9
10000000173,9
10000000174,9
10000000175,9
10000000176,9
10000000177,9
10000000178,9
10000000179,9
10000000269,9
10000000292,9
10000000180,10
10000000181,10
10000000182,10
10000000183,10
10000000184,10
10000000185,10
10000000186,10
10000000187,10
10000000188,10
10000000189,10
10000000190,10
10000000191,10
10000000192,10
10000000193,10
10000000194,10
10000000195,10
10000000196,10
10000000197,10
10000000198,10
10000000199,10
10000000200,11
10000000201,11
10000000202,11
10000000203,11
10000000204,11
10000000205,11
10000000206,11
10000000207,11
10000000208,11
10000000209,11
10000000210,11
10000000211,11
10000000212,11
10000000213,11
10000000214,11
10000000215,11
10000000216,11
10000000217,11
10000000218,11
10000000219,11
10000000270,11
10000000041,12
10000000106,12
10000000220,12
10000000221,12
10000000222,12
10000000223,12
10000000224,12
10000000225,12
10000000226,12
10000000227,12
10000000228,12
10000000229,12
10000000230,12
10000000231,12
10000000232,12
10000000233,12
10000000234,12
10000000235,12
10000000236,12
10000000237,12
10000000238,12
10000000239,12
10000000077,13
10000000084,13
10000000181,13
10000000240,13
10000000241,13
10000000242,13
10000000243,13
10000000244,13
10000000245,13
10000000246,13
10000000247,13
10000000248,13
10000000249,13
10000000250,13
10000000251,13
10000000252,13
10000000253,13
10000000254,13
10000000255,13
10000000256,13
10000000257,13
10000000258,13
10000000259,13
10000000033,14
10000000260,14
10000000261,14
10000000262,14
10000000263,14
10000000264,14
10000000265,14
10000000266,14
10000000267,14
10000000268,14
10000000269,14
10000000270,14
10000000271,14
10000000272,14
10000000273,14
10000000274,14
10000000275,14
10000000276,14
10000000277,14
10000000278,14
10000000279,14
10000000061,15
10000000072,15
10000000280,15
10000000281,15
10000000282,15
10000000283,15
10000000284,15
10000000285,15
10000000286,15
10000000287,15
10000000288,15
10000000289,15
10000000290,15
10000000291,15
10000000292,15
10000000293,15
10000000294,15
10000000295,15
10000000296,15
10000000297,15
10000000298,15
10000000299,15
