DoctorAMKA,ProcEventID
10000000043,1
10000000109,2
10000000043,3
10000000044,4
10000000250,5
10000000016,6
10000000233,7
10000000258,8
10000000144,9
10000000298,10
10000000113,11
10000000081,12
10000000297,13
10000000090,14
10000000141,15
10000000203,16
10000000283,17
10000000261,18
10000000101,19
10000000255,20
10000000232,21
10000000270,22
10000000122,23
10000000285,24
10000000168,25
10000000135,26
10000000227,27
10000000249,28
10000000292,29
10000000009,30
10000000016,31
10000000277,32
10000000113,33
10000000006,34
10000000236,35
10000000267,36
10000000174,37
10000000284,38
10000000109,39
10000000005,40
10000000210,41
10000000181,42
10000000078,43
10000000036,44
10000000014,45
10000000274,46
10000000125,47
10000000255,48
10000000206,49
10000000240,50
10000000004,51
10000000193,52
10000000217,53
10000000197,54
10000000165,55
10000000027,56
10000000034,57
10000000199,58
10000000259,59
10000000072,60
10000000106,61
10000000155,62
10000000241,63
10000000078,64
10000000221,65
10000000208,66
10000000172,67
10000000236,68
10000000014,69
10000000171,70
10000000017,71
10000000158,72
10000000178,73
10000000116,74
10000000144,75
10000000140,76
10000000207,77
10000000128,78
10000000150,79
10000000221,80
10000000238,81
10000000005,82
10000000136,83
10000000279,84
10000000270,85
10000000026,86
10000000117,87
10000000089,88
10000000249,89
10000000002,90
10000000194,91
10000000212,92
10000000095,93
10000000003,94
10000000233,95
10000000108,96
10000000011,97
10000000192,98
10000000256,99
10000000144,100
10000000216,101
10000000041,102
10000000135,103
10000000163,104
10000000121,105
10000000142,106
10000000245,107
10000000197,108
10000000235,109
10000000202,110
10000000134,111
10000000249,112
10000000112,113
10000000107,114
10000000098,115
10000000125,116
10000000263,117
10000000258,118
10000000027,119
10000000269,120
10000000269,121
10000000232,122
10000000266,123
10000000061,124
10000000195,125
10000000238,126
10000000188,127
10000000062,128
10000000073,129
10000000119,130
10000000123,131
10000000260,132
10000000273,133
10000000294,134
10000000281,135
10000000157,136
10000000245,137
10000000075,138
10000000115,139
10000000098,140
10000000049,141
10000000096,142
10000000099,143
10000000123,144
10000000119,145
10000000036,146
10000000053,147
10000000228,148
10000000156,149
10000000216,150
10000000236,151
10000000046,152
10000000036,153
10000000184,154
10000000224,155
10000000224,156
10000000181,157
10000000147,158
10000000167,159
10000000276,160
10000000124,161
10000000260,162
10000000204,163
10000000129,164
10000000251,165
10000000067,166
10000000077,167
10000000232,168
10000000101,169
10000000191,170
10000000276,171
10000000025,172
10000000188,173
10000000011,174
10000000097,175
10000000229,176
10000000058,177
10000000154,178
10000000263,179
10000000032,180
10000000131,181
10000000182,182
10000000203,183
10000000240,184
10000000193,185
10000000091,186
10000000152,187
10000000268,188
10000000208,189
10000000164,190
10000000199,191
10000000114,192
10000000218,193
10000000259,194
10000000168,195
10000000179,196
10000000037,197
10000000075,198
10000000044,199
10000000088,200
10000000037,201
10000000222,202
10000000113,203
10000000155,204
10000000217,205
10000000003,206
10000000132,207
10000000219,208
10000000158,209
10000000271,210
10000000215,211
10000000290,212
10000000128,213
10000000186,214
10000000128,215
10000000010,216
10000000023,217
10000000126,218
10000000042,219
10000000094,220
10000000051,221
10000000271,222
10000000232,223
10000000019,224
10000000111,225
10000000169,226
10000000278,227
10000000129,228
10000000297,229
10000000146,230
10000000236,231
10000000072,232
10000000132,233
10000000122,234
10000000189,235
10000000089,236
10000000299,237
10000000115,238
10000000069,239
10000000123,240
10000000008,241
10000000178,242
10000000227,243
10000000061,244
10000000005,245
10000000182,246
10000000099,247
10000000259,248
10000000219,249
10000000105,250
10000000017,251
10000000083,252
10000000090,253
10000000159,254
10000000037,255
10000000229,256
10000000054,257
10000000117,258
10000000194,259
10000000291,260
10000000027,261
10000000063,262
10000000023,263
10000000107,264
10000000297,265
10000000090,266
10000000177,267
10000000041,268
10000000025,269
10000000093,270
10000000169,271
10000000102,272
10000000021,273
10000000127,274
10000000021,275
10000000187,276
10000000186,277
10000000117,278
10000000135,279
10000000123,280
10000000202,281
10000000074,282
10000000148,283
10000000075,284
10000000188,285
10000000132,286
10000000282,287
10000000114,288
10000000270,289
10000000043,290
10000000176,291
10000000114,292
10000000162,293
10000000298,294
10000000152,295
10000000040,296
10000000217,297
10000000238,298
10000000275,299
10000000093,300
10000000026,301
10000000019,302
10000000033,303
10000000047,304
10000000169,305
10000000250,306
10000000290,307
10000000289,308
10000000024,309
10000000015,310
10000000189,311
10000000051,312
10000000024,313
10000000202,314
10000000261,315
10000000055,316
10000000064,317
10000000087,318
10000000024,319
10000000116,320
10000000188,321
10000000201,322
10000000286,323
10000000073,324
10000000299,325
10000000049,326
10000000005,327
10000000258,328
10000000068,329
10000000077,330
10000000279,331
10000000129,332
10000000101,333
10000000100,334
10000000212,335
10000000260,336
10000000239,337
10000000256,338
10000000224,339
10000000201,340
10000000237,341
10000000139,342
10000000168,343
10000000280,344
10000000292,345
10000000260,346
10000000146,347
10000000035,348
10000000272,349
10000000291,350
