DepartmentID,ShiftTypeName,ShiftDate,AdminAMK
1,Morning,2026-03-09,10000000540
1,Morning,2026-03-09,10000000541
1,Afternoon,2026-03-09,10000000542
1,Afternoon,2026-03-09,10000000543
1,Night,2026-03-09,10000000544
1,Night,2026-03-09,10000000545
1,Morning,2026-03-10,10000000540
1,Morning,2026-03-10,10000000541
1,Afternoon,2026-03-10,10000000542
1,Afternoon,2026-03-10,10000000543
1,Night,2026-03-10,10000000544
1,Night,2026-03-10,10000000545
1,Morning,2026-03-11,10000000540
1,Morning,2026-03-11,10000000541
1,Afternoon,2026-03-11,10000000542
1,Afternoon,2026-03-11,10000000543
1,Night,2026-03-11,10000000544
1,Night,2026-03-11,10000000545
1,Morning,2026-03-12,10000000540
1,Morning,2026-03-12,10000000541
1,Afternoon,2026-03-12,10000000542
1,Afternoon,2026-03-12,10000000543
1,Night,2026-03-12,10000000546
1,Night,2026-03-12,10000000547
1,Morning,2026-03-13,10000000540
1,Morning,2026-03-13,10000000541
1,Afternoon,2026-03-13,10000000542
1,Afternoon,2026-03-13,10000000543
1,Night,2026-03-13,10000000546
1,Night,2026-03-13,10000000547
1,Morning,2026-03-14,10000000540
1,Morning,2026-03-14,10000000541
1,Afternoon,2026-03-14,10000000542
1,Afternoon,2026-03-14,10000000543
1,Night,2026-03-14,10000000546
1,Night,2026-03-14,10000000547
1,Morning,2026-03-15,10000000540
1,Morning,2026-03-15,10000000541
1,Afternoon,2026-03-15,10000000542
1,Afternoon,2026-03-15,10000000543
1,Night,2026-03-15,10000000544
1,Night,2026-03-15,10000000545
2,Morning,2026-03-09,10000000548
2,Morning,2026-03-09,10000000549
2,Afternoon,2026-03-09,10000000550
2,Afternoon,2026-03-09,10000000551
2,Night,2026-03-09,10000000552
2,Night,2026-03-09,10000000553
2,Morning,2026-03-10,10000000548
2,Morning,2026-03-10,10000000549
2,Afternoon,2026-03-10,10000000550
2,Afternoon,2026-03-10,10000000551
2,Night,2026-03-10,10000000552
2,Night,2026-03-10,10000000553
2,Morning,2026-03-11,10000000548
2,Morning,2026-03-11,10000000549
2,Afternoon,2026-03-11,10000000550
2,Afternoon,2026-03-11,10000000551
2,Night,2026-03-11,10000000552
2,Night,2026-03-11,10000000553
2,Morning,2026-03-12,10000000548
2,Morning,2026-03-12,10000000549
2,Afternoon,2026-03-12,10000000550
2,Afternoon,2026-03-12,10000000551
2,Night,2026-03-12,10000000554
2,Night,2026-03-12,10000000555
2,Morning,2026-03-13,10000000548
2,Morning,2026-03-13,10000000549
2,Afternoon,2026-03-13,10000000550
2,Afternoon,2026-03-13,10000000551
2,Night,2026-03-13,10000000554
2,Night,2026-03-13,10000000555
2,Morning,2026-03-14,10000000548
2,Morning,2026-03-14,10000000549
2,Afternoon,2026-03-14,10000000550
2,Afternoon,2026-03-14,10000000551
2,Night,2026-03-14,10000000554
2,Night,2026-03-14,10000000555
2,Morning,2026-03-15,10000000548
2,Morning,2026-03-15,10000000549
2,Afternoon,2026-03-15,10000000550
2,Afternoon,2026-03-15,10000000551
2,Night,2026-03-15,10000000552
2,Night,2026-03-15,10000000553
3,Morning,2026-03-09,10000000556
3,Morning,2026-03-09,10000000557
3,Afternoon,2026-03-09,10000000558
3,Afternoon,2026-03-09,10000000559
3,Night,2026-03-09,10000000560
3,Night,2026-03-09,10000000561
3,Morning,2026-03-10,10000000556
3,Morning,2026-03-10,10000000557
3,Afternoon,2026-03-10,10000000558
3,Afternoon,2026-03-10,10000000559
3,Night,2026-03-10,10000000560
3,Night,2026-03-10,10000000561
3,Morning,2026-03-11,10000000556
3,Morning,2026-03-11,10000000557
3,Afternoon,2026-03-11,10000000558
3,Afternoon,2026-03-11,10000000559
3,Night,2026-03-11,10000000560
3,Night,2026-03-11,10000000561
3,Morning,2026-03-12,10000000556
3,Morning,2026-03-12,10000000557
3,Afternoon,2026-03-12,10000000558
3,Afternoon,2026-03-12,10000000559
3,Night,2026-03-12,10000000562
3,Night,2026-03-12,10000000563
3,Morning,2026-03-13,10000000556
3,Morning,2026-03-13,10000000557
3,Afternoon,2026-03-13,10000000558
3,Afternoon,2026-03-13,10000000559
3,Night,2026-03-13,10000000562
3,Night,2026-03-13,10000000563
3,Morning,2026-03-14,10000000556
3,Morning,2026-03-14,10000000557
3,Afternoon,2026-03-14,10000000558
3,Afternoon,2026-03-14,10000000559
3,Night,2026-03-14,10000000562
3,Night,2026-03-14,10000000563
3,Morning,2026-03-15,10000000556
3,Morning,2026-03-15,10000000557
3,Afternoon,2026-03-15,10000000558
3,Afternoon,2026-03-15,10000000559
3,Night,2026-03-15,10000000560
3,Night,2026-03-15,10000000561
4,Morning,2026-03-09,10000000564
4,Morning,2026-03-09,10000000565
4,Afternoon,2026-03-09,10000000566
4,Afternoon,2026-03-09,10000000567
4,Night,2026-03-09,10000000568
4,Night,2026-03-09,10000000569
4,Morning,2026-03-10,10000000564
4,Morning,2026-03-10,10000000565
4,Afternoon,2026-03-10,10000000566
4,Afternoon,2026-03-10,10000000567
4,Night,2026-03-10,10000000568
4,Night,2026-03-10,10000000569
4,Morning,2026-03-11,10000000564
4,Morning,2026-03-11,10000000565
4,Afternoon,2026-03-11,10000000566
4,Afternoon,2026-03-11,10000000567
4,Night,2026-03-11,10000000568
4,Night,2026-03-11,10000000569
4,Morning,2026-03-12,10000000564
4,Morning,2026-03-12,10000000565
4,Afternoon,2026-03-12,10000000566
4,Afternoon,2026-03-12,10000000567
4,Night,2026-03-12,10000000570
4,Night,2026-03-12,10000000571
4,Morning,2026-03-13,10000000564
4,Morning,2026-03-13,10000000565
4,Afternoon,2026-03-13,10000000566
4,Afternoon,2026-03-13,10000000567
4,Night,2026-03-13,10000000570
4,Night,2026-03-13,10000000571
4,Morning,2026-03-14,10000000564
4,Morning,2026-03-14,10000000565
4,Afternoon,2026-03-14,10000000566
4,Afternoon,2026-03-14,10000000567
4,Night,2026-03-14,10000000570
4,Night,2026-03-14,10000000571
4,Morning,2026-03-15,10000000564
4,Morning,2026-03-15,10000000565
4,Afternoon,2026-03-15,10000000566
4,Afternoon,2026-03-15,10000000567
4,Night,2026-03-15,10000000568
4,Night,2026-03-15,10000000569
5,Morning,2026-03-09,10000000572
5,Morning,2026-03-09,10000000573
5,Afternoon,2026-03-09,10000000574
5,Afternoon,2026-03-09,10000000575
5,Night,2026-03-09,10000000576
5,Night,2026-03-09,10000000577
5,Morning,2026-03-10,10000000572
5,Morning,2026-03-10,10000000573
5,Afternoon,2026-03-10,10000000574
5,Afternoon,2026-03-10,10000000575
5,Night,2026-03-10,10000000576
5,Night,2026-03-10,10000000577
5,Morning,2026-03-11,10000000572
5,Morning,2026-03-11,10000000573
5,Afternoon,2026-03-11,10000000574
5,Afternoon,2026-03-11,10000000575
5,Night,2026-03-11,10000000576
5,Night,2026-03-11,10000000577
5,Morning,2026-03-12,10000000572
5,Morning,2026-03-12,10000000573
5,Afternoon,2026-03-12,10000000574
5,Afternoon,2026-03-12,10000000575
5,Night,2026-03-12,10000000578
5,Night,2026-03-12,10000000579
5,Morning,2026-03-13,10000000572
5,Morning,2026-03-13,10000000573
5,Afternoon,2026-03-13,10000000574
5,Afternoon,2026-03-13,10000000575
5,Night,2026-03-13,10000000578
5,Night,2026-03-13,10000000579
5,Morning,2026-03-14,10000000572
5,Morning,2026-03-14,10000000573
5,Afternoon,2026-03-14,10000000574
5,Afternoon,2026-03-14,10000000575
