DepartmentID,ShiftTypeName,ShiftDate,DoctorAMK
1,Morning,2026-03-09,10000000000
1,Morning,2026-03-09,10000000001
1,Morning,2026-03-09,10000000002
1,Afternoon,2026-03-09,10000000003
1,Afternoon,2026-03-09,10000000004
1,Afternoon,2026-03-09,10000000005
1,Night,2026-03-09,10000000006
1,Night,2026-03-09,10000000007
1,Night,2026-03-09,10000000008
1,Morning,2026-03-10,10000000000
1,Morning,2026-03-10,10000000001
1,Morning,2026-03-10,10000000002
1,Afternoon,2026-03-10,10000000003
1,Afternoon,2026-03-10,10000000004
1,Afternoon,2026-03-10,10000000005
1,Night,2026-03-10,10000000006
1,Night,2026-03-10,10000000007
1,Night,2026-03-10,10000000008
1,Morning,2026-03-11,10000000000
1,Morning,2026-03-11,10000000001
1,Morning,2026-03-11,10000000002
1,Afternoon,2026-03-11,10000000003
1,Afternoon,2026-03-11,10000000004
1,Afternoon,2026-03-11,10000000005
1,Night,2026-03-11,10000000006
1,Night,2026-03-11,10000000007
1,Night,2026-03-11,10000000008
1,Morning,2026-03-12,10000000000
1,Morning,2026-03-12,10000000001
1,Morning,2026-03-12,10000000002
1,Afternoon,2026-03-12,10000000003
1,Afternoon,2026-03-12,10000000004
1,Afternoon,2026-03-12,10000000005
1,Night,2026-03-12,10000000009
1,Night,2026-03-12,10000000010
1,Night,2026-03-12,10000000011
1,Morning,2026-03-13,10000000000
1,Morning,2026-03-13,10000000001
1,Morning,2026-03-13,10000000002
1,Afternoon,2026-03-13,10000000003
1,Afternoon,2026-03-13,10000000004
1,Afternoon,2026-03-13,10000000005
1,Night,2026-03-13,10000000009
1,Night,2026-03-13,10000000010
1,Night,2026-03-13,10000000011
1,Morning,2026-03-14,10000000000
1,Morning,2026-03-14,10000000001
1,Morning,2026-03-14,10000000002
1,Afternoon,2026-03-14,10000000003
1,Afternoon,2026-03-14,10000000004
1,Afternoon,2026-03-14,10000000005
1,Night,2026-03-14,10000000009
1,Night,2026-03-14,10000000010
1,Night,2026-03-14,10000000011
1,Morning,2026-03-15,10000000000
1,Morning,2026-03-15,10000000001
1,Morning,2026-03-15,10000000002
1,Afternoon,2026-03-15,10000000003
1,Afternoon,2026-03-15,10000000004
1,Afternoon,2026-03-15,10000000005
1,Night,2026-03-15,10000000006
1,Night,2026-03-15,10000000007
1,Night,2026-03-15,10000000008
2,Morning,2026-03-09,10000000020
2,Morning,2026-03-09,10000000021
2,Morning,2026-03-09,10000000022
2,Afternoon,2026-03-09,10000000023
